tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,TechSupport,SeniorCitizen,Dependents,NumServices,Churn
51,101.69,5159.79,Month-to-month,Fiber optic,Electronic check,Yes,0,Yes,3,1
55,75.23,4109.71,Month-to-month,DSL,Mailed check,No internet service,0,No,6,0
64,117.92,7520.41,Month-to-month,Fiber optic,Bank transfer,No internet service,0,Yes,6,0
3,46.68,211.91,One year,DSL,Credit card,No,0,No,7,0
51,46.05,2345.67,Month-to-month,DSL,Mailed check,No internet service,1,No,1,0
7,33.97,284.56,One year,Fiber optic,Electronic check,No internet service,0,Yes,6,0
21,34.41,730.73,Two year,No,Mailed check,Yes,0,No,5,0
39,46.52,1885.02,Month-to-month,DSL,Bank transfer,Yes,0,Yes,3,0
18,97.28,1802.16,Two year,No,Mailed check,No,0,No,5,0
4,108.58,404.73,Month-to-month,DSL,Mailed check,No,0,Yes,3,1
60,115.51,7028.6,Two year,DSL,Mailed check,No,0,Yes,7,0
14,41.23,554.48,Two year,Fiber optic,Electronic check,No,0,Yes,4,0
9,106.13,965.17,Month-to-month,DSL,Electronic check,No,1,No,1,1
53,50.83,2712.6,Month-to-month,DSL,Electronic check,No,0,No,7,0
2,29.28,82.99,Month-to-month,DSL,Mailed check,Yes,0,No,2,1
60,105.0,6339.96,Two year,DSL,Electronic check,No,0,Yes,2,0
71,81.61,5756.51,Two year,DSL,Bank transfer,No internet service,0,Yes,1,0
44,34.47,1552.43,Month-to-month,Fiber optic,Electronic check,No,0,No,6,1
8,60.98,516.92,One year,Fiber optic,Mailed check,Yes,0,Yes,7,0
47,46.73,2196.13,Month-to-month,No,Electronic check,Yes,0,Yes,6,0
35,91.68,3199.29,Month-to-month,Fiber optic,Bank transfer,No,0,No,2,1
36,63.34,2239.89,Two year,Fiber optic,Credit card,No internet service,0,Yes,5,0
50,116.93,5870.42,Month-to-month,Fiber optic,Bank transfer,No internet service,0,No,7,0
4,23.47,60.87,Two year,No,Mailed check,No,0,Yes,2,0
2,53.5,118.9,Two year,DSL,Bank transfer,Yes,1,Yes,7,0
6,66.19,392.07,Two year,DSL,Electronic check,No,0,No,1,0
54,68.31,3622.21,Month-to-month,Fiber optic,Electronic check,No internet service,1,No,6,1
4,49.59,151.7,Month-to-month,DSL,Electronic check,No internet service,0,No,4,1
54,90.92,4930.14,Month-to-month,No,Electronic check,No,0,Yes,7,0
63,105.47,6618.69,One year,Fiber optic,Electronic check,No,0,No,6,0
18,111.87,1985.77,One year,DSL,Mailed check,No,1,Yes,1,0
44,98.51,4296.21,Month-to-month,Fiber optic,Electronic check,No internet service,0,No,1,1
34,103.06,3467.47,One year,DSL,Credit card,No,0,No,3,0
62,73.05,4611.51,Month-to-month,No,Credit card,Yes,0,No,2,0
14,100.59,1352.25,Month-to-month,No,Credit card,No,1,No,2,1
48,48.35,2394.46,Month-to-month,Fiber optic,Electronic check,No internet service,1,No,3,1
15,57.85,851.18,Month-to-month,DSL,Credit card,No,0,Yes,5,0
62,49.69,3048.17,Month-to-month,DSL,Credit card,No,0,No,5,0
40,64.74,2608.74,Month-to-month,Fiber optic,Credit card,No,0,Yes,6,1
53,46.56,2470.22,Two year,No,Mailed check,No,0,No,3,0
24,114.16,2729.99,One year,DSL,Bank transfer,Yes,1,No,2,0
26,49.28,1292.39,Month-to-month,DSL,Electronic check,No,0,No,5,1
60,27.8,1670.13,One year,DSL,Electronic check,No,0,No,5,0
41,70.68,2887.17,One year,Fiber optic,Electronic check,No internet service,0,No,4,0
29,23.71,734.37,Month-to-month,No,Credit card,No internet service,0,Yes,5,0
15,29.05,363.47,One year,DSL,Electronic check,No,0,No,2,0
45,39.94,1751.52,One year,DSL,Electronic check,No internet service,0,No,4,0
65,64.44,4148.87,One year,Fiber optic,Credit card,No,0,Yes,4,0
71,61.33,4301.18,One year,No,Electronic check,No,0,No,7,0
9,97.97,886.02,One year,No,Credit card,Yes,0,No,6,0
1,91.95,117.22,Month-to-month,Fiber optic,Bank transfer,Yes,0,No,7,1
8,60.63,386.93,Two year,DSL,Electronic check,No internet service,1,Yes,2,0
63,51.37,3212.63,Month-to-month,Fiber optic,Electronic check,No internet service,0,No,3,0
11,49.65,530.03,Two year,No,Mailed check,No,0,No,7,0
8,95.4,748.9,Month-to-month,No,Credit card,No,0,Yes,1,1
35,23.21,748.0,Month-to-month,Fiber optic,Credit card,No,0,No,5,1
35,19.28,659.21,One year,Fiber optic,Electronic check,No internet service,0,No,6,0
33,97.55,3173.74,Month-to-month,No,Mailed check,Yes,0,No,3,0
5,65.71,311.85,Two year,Fiber optic,Mailed check,No,1,No,1,1
41,31.09,1188.63,Month-to-month,DSL,Bank transfer,No,1,No,2,0
28,41.56,1147.21,One year,Fiber optic,Mailed check,No internet service,0,Yes,5,0
7,111.25,742.8,Month-to-month,No,Electronic check,Yes,0,Yes,3,1
12,103.95,1234.28,Month-to-month,Fiber optic,Bank transfer,No internet service,0,No,1,1
34,88.98,3040.31,Month-to-month,No,Mailed check,No,0,Yes,6,0
33,66.22,2183.11,One year,Fiber optic,Electronic check,Yes,0,No,2,0
48,70.03,3401.22,One year,DSL,Credit card,No,0,Yes,6,0
23,115.52,2639.02,One year,DSL,Bank transfer,No,0,No,4,0
62,114.58,7134.72,Two year,No,Mailed check,Yes,0,No,4,0
37,39.53,1518.74,One year,Fiber optic,Bank transfer,No,0,No,4,0
44,99.11,4374.55,Two year,DSL,Mailed check,No,0,No,2,0
35,37.72,1319.31,Month-to-month,No,Bank transfer,Yes,1,No,1,0
65,39.35,2578.71,Month-to-month,Fiber optic,Credit card,No,0,No,2,1
47,85.61,4039.09,Month-to-month,No,Bank transfer,Yes,0,No,4,0
3,58.5,225.56,Month-to-month,Fiber optic,Bank transfer,No,1,No,2,1
1,111.15,150.84,Month-to-month,DSL,Bank transfer,Yes,0,Yes,5,0
5,26.9,174.8,Month-to-month,Fiber optic,Mailed check,No,0,Yes,1,1
14,69.15,970.34,One year,No,Electronic check,Yes,0,No,7,0
27,109.85,2983.07,One year,DSL,Electronic check,No,0,No,6,0
9,108.41,991.83,Two year,No,Bank transfer,Yes,0,Yes,5,0
15,33.65,444.42,Two year,DSL,Mailed check,No,1,Yes,6,0
42,54.66,2349.32,Month-to-month,Fiber optic,Mailed check,No,0,No,4,1
51,79.91,3992.05,Month-to-month,Fiber optic,Bank transfer,Yes,1,Yes,1,1
63,33.94,2173.8,Month-to-month,No,Electronic check,No internet service,0,Yes,5,0
52,114.8,5983.07,Month-to-month,Fiber optic,Bank transfer,No,0,No,2,1
4,109.47,423.69,Month-to-month,Fiber optic,Mailed check,No,0,Yes,3,1
23,34.7,817.54,One year,No,Mailed check,No,0,Yes,6,0
15,30.12,472.66,Month-to-month,DSL,Mailed check,Yes,0,No,7,0
43,26.54,1075.87,One year,DSL,Electronic check,No internet service,1,No,7,0
29,108.94,3230.19,One year,DSL,Electronic check,Yes,0,No,2,0
36,37.36,1348.65,Month-to-month,Fiber optic,Mailed check,No,0,Yes,4,1
13,59.63,890.91,Month-to-month,Fiber optic,Mailed check,No,1,No,3,1
32,62.89,2051.81,Two year,No,Bank transfer,No internet service,0,No,6,0
71,77.9,5533.45,Month-to-month,Fiber optic,Mailed check,No,0,Yes,1,1
59,25.17,1450.74,Month-to-month,DSL,Credit card,No,0,No,7,0
28,40.68,1133.38,Month-to-month,No,Bank transfer,No,0,No,6,0
66,111.15,7343.33,Month-to-month,DSL,Electronic check,Yes,0,No,3,0
42,108.84,4644.59,Month-to-month,No,Electronic check,Yes,0,No,6,0
45,96.13,4387.14,Two year,DSL,Electronic check,Yes,0,No,6,0
62,19.94,1258.86,Month-to-month,DSL,Credit card,Yes,0,Yes,7,0
57,50.7,2978.4,Month-to-month,Fiber optic,Credit card,Yes,1,Yes,1,1
6,80.8,383.97,Month-to-month,DSL,Electronic check,No,0,No,5,1
28,45.52,1297.67,One year,DSL,Bank transfer,No internet service,0,No,7,0
28,108.96,3113.63,Month-to-month,Fiber optic,Credit card,No internet service,0,No,6,0
44,81.39,3608.49,Month-to-month,DSL,Bank transfer,No,0,No,5,0
30,25.19,689.08,One year,DSL,Mailed check,Yes,0,Yes,6,0
62,108.9,6821.31,Month-to-month,DSL,Electronic check,No internet service,0,No,7,0
62,113.78,7092.22,Month-to-month,Fiber optic,Electronic check,No internet service,1,No,6,1
1,25.77,42.92,Month-to-month,Fiber optic,Bank transfer,No,0,No,5,1
27,71.24,1927.79,One year,DSL,Bank transfer,Yes,0,Yes,5,0
62,48.34,3096.54,Two year,Fiber optic,Mailed check,No internet service,0,Yes,7,0
3,57.28,194.08,Month-to-month,Fiber optic,Electronic check,Yes,0,No,7,1
70,35.97,2505.46,Month-to-month,Fiber optic,Credit card,Yes,0,No,7,0
27,75.81,2006.23,Month-to-month,Fiber optic,Credit card,No internet service,1,No,6,1
9,113.8,1062.06,One year,DSL,Electronic check,No,0,No,5,0
62,68.31,4284.36,One year,Fiber optic,Electronic check,Yes,0,No,3,0
37,26.29,975.61,One year,No,Mailed check,No,0,No,1,0
51,80.0,4052.12,One year,Fiber optic,Electronic check,No,0,No,5,0
44,52.02,2355.48,Two year,DSL,Electronic check,No internet service,0,Yes,5,0
24,103.59,2441.85,Two year,DSL,Electronic check,Yes,0,No,1,0
59,61.47,3725.07,One year,No,Credit card,Yes,0,Yes,7,0
32,37.28,1156.36,Month-to-month,Fiber optic,Credit card,No,0,No,3,1
52,37.11,1865.83,Month-to-month,DSL,Electronic check,No internet service,0,No,6,0
62,94.88,5824.82,Month-to-month,DSL,Credit card,Yes,1,Yes,7,0
58,44.56,2528.92,Month-to-month,No,Bank transfer,No,0,Yes,5,0
52,94.72,4913.78,One year,DSL,Electronic check,Yes,0,No,6,0
12,38.59,439.66,Month-to-month,Fiber optic,Credit card,Yes,0,No,6,1
39,50.17,2007.81,One year,Fiber optic,Bank transfer,No internet service,0,No,7,0
2,64.55,173.2,Month-to-month,Fiber optic,Credit card,Yes,0,No,3,1
3,112.32,325.78,One year,DSL,Mailed check,No,0,Yes,5,0
56,111.17,6380.87,Month-to-month,DSL,Mailed check,No,0,Yes,3,0
59,38.69,2270.71,Month-to-month,No,Electronic check,Yes,0,No,6,0
2,53.82,102.47,Month-to-month,Fiber optic,Mailed check,No internet service,0,Yes,4,1
2,32.94,2.01,Two year,No,Mailed check,No,0,No,5,0
54,69.0,3721.89,Month-to-month,Fiber optic,Credit card,No,0,Yes,5,1
1,64.06,78.93,Month-to-month,No,Bank transfer,No,0,No,6,1
19,108.08,1994.23,Month-to-month,No,Electronic check,No,0,Yes,6,0
2,111.0,197.07,One year,Fiber optic,Electronic check,No,1,Yes,6,1
53,56.36,3003.26,Month-to-month,DSL,Credit card,Yes,0,No,2,0
44,67.17,2929.41,Two year,Fiber optic,Mailed check,No internet service,0,No,7,0
32,107.62,3407.25,Month-to-month,Fiber optic,Electronic check,No,1,No,2,1
70,98.67,6946.06,Month-to-month,Fiber optic,Credit card,Yes,0,Yes,7,0
32,18.37,523.59,One year,No,Credit card,No internet service,0,Yes,6,0
68,50.01,3346.01,Month-to-month,DSL,Bank transfer,No,1,No,6,0
55,60.18,3318.63,Two year,DSL,Electronic check,No,0,No,6,0
56,40.97,2336.72,Month-to-month,Fiber optic,Mailed check,Yes,0,Yes,3,0
17,37.96,660.55,Two year,DSL,Bank transfer,No internet service,0,No,2,0
38,21.78,816.39,One year,Fiber optic,Credit card,No internet service,1,No,3,0
24,82.34,1960.82,Two year,No,Credit card,No,0,No,5,0
69,44.25,3103.84,Month-to-month,Fiber optic,Mailed check,No,1,Yes,5,1
70,23.23,1669.38,Month-to-month,No,Credit card,No,0,No,6,0
11,41.1,454.57,One year,Fiber optic,Electronic check,Yes,0,No,4,0
16,98.19,1557.18,One year,Fiber optic,Electronic check,No,1,No,4,1
59,103.15,6087.55,Month-to-month,Fiber optic,Mailed check,Yes,0,Yes,2,0
70,66.31,4605.1,Month-to-month,DSL,Credit card,No internet service,1,No,6,0
3,59.61,171.31,Month-to-month,Fiber optic,Electronic check,Yes,0,No,6,1
20,115.79,2291.23,One year,DSL,Electronic check,No,1,No,5,0
59,38.06,2240.29,Month-to-month,No,Credit card,No,1,No,3,0
36,39.54,1400.61,Month-to-month,DSL,Electronic check,Yes,0,Yes,2,0
19,47.19,922.75,Month-to-month,DSL,Electronic check,No,0,No,4,1
67,35.28,2404.39,Month-to-month,Fiber optic,Bank transfer,No,0,No,1,1
19,55.94,1043.81,Month-to-month,Fiber optic,Bank transfer,No,0,Yes,3,0
20,109.08,2141.07,Two year,DSL,Mailed check,Yes,0,No,6,0
71,79.53,5682.55,Month-to-month,DSL,Credit card,No,0,Yes,1,0
52,59.19,3087.36,Two year,No,Electronic check,No internet service,0,No,2,0
33,111.44,3659.22,Month-to-month,Fiber optic,Credit card,No,0,No,2,1
40,22.85,982.63,Month-to-month,DSL,Bank transfer,No,1,No,1,1
39,39.03,1493.83,Month-to-month,Fiber optic,Mailed check,Yes,0,No,2,0
1,74.59,0.0,One year,DSL,Credit card,No internet service,0,No,2,0
11,79.56,839.71,One year,DSL,Electronic check,No,0,Yes,5,0
57,21.96,1332.4,Month-to-month,No,Electronic check,No,0,No,6,1
50,58.3,2899.31,Month-to-month,Fiber optic,Credit card,Yes,1,Yes,3,0
23,82.92,1881.28,Two year,DSL,Electronic check,Yes,0,Yes,4,0
31,87.81,2723.35,Two year,No,Electronic check,No,0,No,6,0
42,81.81,3486.74,Month-to-month,No,Mailed check,Yes,0,Yes,5,0
7,50.06,346.25,One year,DSL,Electronic check,No,0,No,2,0
16,27.35,467.2,Month-to-month,Fiber optic,Credit card,No,0,No,4,1
60,60.71,3633.21,Month-to-month,No,Credit card,No internet service,0,No,2,0
2,30.88,91.71,Month-to-month,Fiber optic,Mailed check,Yes,0,No,6,1
1,112.76,121.78,Month-to-month,Fiber optic,Mailed check,Yes,0,Yes,3,1
48,65.52,3124.92,Two year,Fiber optic,Mailed check,No,1,Yes,2,0
12,49.73,609.62,Month-to-month,Fiber optic,Electronic check,Yes,0,No,1,1
69,94.63,6502.37,One year,Fiber optic,Electronic check,Yes,0,No,1,0
37,67.79,2439.5,Two year,Fiber optic,Electronic check,No,0,Yes,1,0
32,49.0,1567.11,Month-to-month,DSL,Mailed check,No,1,No,1,1
9,99.2,828.3,Month-to-month,No,Bank transfer,No internet service,1,No,4,0
19,104.72,2019.46,One year,DSL,Credit card,No internet service,0,Yes,6,0
48,85.3,4092.56,Month-to-month,Fiber optic,Bank transfer,No,1,Yes,7,1
3,22.7,139.25,Month-to-month,Fiber optic,Bank transfer,Yes,1,Yes,1,1
20,74.63,1476.13,Month-to-month,Fiber optic,Electronic check,No,0,No,2,1
24,94.33,2262.91,Month-to-month,Fiber optic,Credit card,No,0,No,7,1
54,31.65,1635.63,Two year,Fiber optic,Credit card,No,0,Yes,7,0
33,40.87,1293.41,One year,DSL,Credit card,No internet service,0,No,5,0
24,106.25,2466.05,Month-to-month,Fiber optic,Electronic check,No,0,No,2,1
36,20.01,774.31,Month-to-month,No,Bank transfer,No,0,No,2,0
38,93.27,3521.39,Two year,No,Bank transfer,Yes,1,Yes,2,0
25,65.38,1700.79,Month-to-month,Fiber optic,Electronic check,No internet service,0,No,2,1
18,62.68,994.16,Month-to-month,DSL,Credit card,No internet service,0,No,5,0
66,18.71,1312.24,Two year,DSL,Electronic check,No,0,No,7,0
54,99.94,5393.35,Two year,DSL,Electronic check,No,0,No,7,0
35,53.98,1906.38,Month-to-month,Fiber optic,Mailed check,Yes,0,No,1,0
61,72.08,4343.52,Month-to-month,DSL,Electronic check,Yes,0,Yes,3,0
41,85.73,3541.3,Month-to-month,No,Credit card,No,0,No,7,0
33,88.26,2893.98,Month-to-month,No,Mailed check,Yes,0,No,4,0
68,113.6,7664.97,One year,DSL,Mailed check,No internet service,0,No,5,0
33,71.13,2287.04,Month-to-month,Fiber optic,Bank transfer,No internet service,0,No,5,1
14,57.97,750.34,Month-to-month,Fiber optic,Electronic check,No,0,Yes,7,1
21,113.37,2399.79,Month-to-month,DSL,Bank transfer,No,0,Yes,5,0
48,82.21,3914.35,Two year,Fiber optic,Bank transfer,No,0,No,4,0
20,47.82,874.3,Month-to-month,Fiber optic,Mailed check,Yes,0,No,2,0
8,30.65,263.64,Month-to-month,DSL,Credit card,Yes,0,No,6,0
7,102.26,607.15,Two year,Fiber optic,Bank transfer,No,1,No,4,1
67,54.22,3699.07,Month-to-month,No,Bank transfer,No internet service,0,Yes,7,0
17,84.05,1528.12,Month-to-month,Fiber optic,Credit card,No internet service,1,No,5,1
33,65.08,2082.07,Month-to-month,Fiber optic,Bank transfer,No internet service,0,No,2,0
48,37.89,1871.49,Month-to-month,DSL,Mailed check,No,0,Yes,5,0
59,78.17,4629.41,Month-to-month,No,Electronic check,No internet service,0,No,7,0
22,24.07,504.5,Month-to-month,No,Bank transfer,No,0,No,3,0
30,59.33,1757.36,Month-to-month,DSL,Credit card,Yes,1,No,1,0
38,72.66,2793.86,Month-to-month,No,Mailed check,No,0,Yes,1,0
51,61.6,3139.84,Month-to-month,DSL,Electronic check,No internet service,0,No,5,0
54,92.87,4885.12,Month-to-month,DSL,Mailed check,Yes,0,No,2,0
8,100.79,909.99,Month-to-month,Fiber optic,Bank transfer,Yes,0,Yes,3,1
27,95.12,2590.02,Month-to-month,Fiber optic,Electronic check,Yes,1,No,3,1
27,21.88,588.19,Two year,Fiber optic,Credit card,Yes,0,Yes,6,0
21,37.41,749.75,Month-to-month,Fiber optic,Credit card,Yes,1,No,2,1
30,71.66,2140.37,Month-to-month,DSL,Mailed check,No,0,No,2,0
28,111.48,3184.96,One year,DSL,Electronic check,No internet service,0,No,3,0
64,101.5,6508.8,Month-to-month,Fiber optic,Bank transfer,No internet service,0,Yes,1,0
69,102.25,7074.26,One year,DSL,Electronic check,No internet service,0,No,1,0
61,48.32,2885.11,One year,DSL,Mailed check,Yes,0,No,3,0
48,60.94,2907.87,One year,DSL,Electronic check,Yes,0,No,4,0
19,65.07,1238.89,One year,No,Bank transfer,Yes,0,Yes,3,0
4,33.74,169.78,Month-to-month,No,Electronic check,No internet service,0,Yes,5,1
35,21.11,717.95,One year,DSL,Credit card,Yes,0,No,6,0
64,112.69,7258.57,Month-to-month,DSL,Credit card,No,1,No,4,0
49,42.07,2004.27,Month-to-month,Fiber optic,Credit card,Yes,0,No,2,1
17,41.99,717.39,Two year,No,Electronic check,Yes,0,Yes,3,0
44,26.34,1153.99,Month-to-month,DSL,Electronic check,Yes,1,No,7,0
30,110.85,3249.75,Two year,No,Mailed check,No,0,No,3,0
46,75.97,3492.41,Month-to-month,Fiber optic,Electronic check,Yes,0,Yes,4,1
6,84.7,479.09,Month-to-month,No,Electronic check,Yes,0,Yes,3,1
37,109.16,4109.52,Month-to-month,DSL,Bank transfer,No,1,Yes,5,0
24,52.56,1240.98,One year,No,Bank transfer,No,0,No,1,0
46,80.15,3704.48,Month-to-month,Fiber optic,Electronic check,No,0,No,3,1
53,21.88,1098.09,Month-to-month,No,Mailed check,No internet service,0,No,1,0
60,36.68,2212.46,Month-to-month,Fiber optic,Mailed check,No,0,No,2,1
63,101.12,6350.1,One year,Fiber optic,Electronic check,Yes,1,Yes,2,0
32,94.68,2990.84,Month-to-month,No,Credit card,No,0,No,3,0
33,53.06,1892.82,Two year,Fiber optic,Electronic check,No,0,No,2,0
67,55.68,3712.96,Month-to-month,Fiber optic,Electronic check,No,1,Yes,3,1
18,71.36,1273.8,Month-to-month,Fiber optic,Electronic check,No internet service,0,No,1,1
25,18.02,495.7,Month-to-month,No,Electronic check,No internet service,0,No,4,0
54,42.12,2236.3,Two year,No,Credit card,No,0,No,3,0
58,38.82,2271.91,Month-to-month,DSL,Electronic check,Yes,1,No,6,0
67,43.05,2909.75,Month-to-month,Fiber optic,Bank transfer,No internet service,0,No,7,1
46,98.59,4547.4,One year,No,Mailed check,No,0,No,4,0
24,45.97,1218.03,Month-to-month,Fiber optic,Bank transfer,No,0,No,1,1
32,37.15,1148.65,One year,No,Credit card,No internet service,1,Yes,1,0
47,68.43,3292.92,Month-to-month,No,Credit card,No,0,Yes,7,0
23,104.56,2428.59,Month-to-month,Fiber optic,Electronic check,No,0,Yes,4,1
66,42.13,2826.38,Month-to-month,Fiber optic,Credit card,No,0,No,6,1
27,25.85,715.11,Month-to-month,No,Mailed check,Yes,1,No,3,0
2,53.64,201.19,One year,No,Mailed check,No,1,No,4,0
17,92.77,1561.0,One year,No,Bank transfer,No,0,No,3,0
33,73.07,2436.14,Month-to-month,DSL,Credit card,Yes,1,No,6,0
9,99.68,962.39,Two year,DSL,Electronic check,No,0,Yes,3,0
43,113.96,4872.3,Month-to-month,Fiber optic,Bank transfer,No,0,No,4,1
48,97.27,4718.8,Month-to-month,Fiber optic,Electronic check,No,0,No,1,1
39,78.38,3055.9,One year,DSL,Mailed check,No internet service,0,No,5,0
42,67.33,2766.29,One year,DSL,Credit card,Yes,1,No,2,0
26,22.01,499.6,Month-to-month,DSL,Mailed check,No,0,No,5,0
50,116.43,5817.07,One year,Fiber optic,Electronic check,No,0,No,1,0
25,56.35,1458.25,Month-to-month,No,Mailed check,No,0,Yes,2,0
24,33.22,693.4,One year,No,Bank transfer,No internet service,0,Yes,7,0
13,84.67,1110.74,Two year,Fiber optic,Mailed check,Yes,0,No,7,0
60,46.43,2830.35,One year,Fiber optic,Electronic check,No,0,No,6,0
7,76.58,472.15,Month-to-month,Fiber optic,Mailed check,No,0,No,6,1
57,76.68,4338.88,One year,Fiber optic,Credit card,No internet service,0,Yes,4,0
36,62.57,2281.25,One year,Fiber optic,Bank transfer,No,0,No,7,0
45,101.61,4614.96,Month-to-month,Fiber optic,Bank transfer,No,0,No,5,1
20,44.5,970.14,Month-to-month,DSL,Bank transfer,Yes,0,Yes,3,0
65,62.86,4056.79,Two year,Fiber optic,Electronic check,No,1,Yes,1,0
8,71.77,533.37,Month-to-month,DSL,Bank transfer,No,0,No,1,1
16,84.36,1432.43,Month-to-month,DSL,Mailed check,No,0,No,6,0
14,96.4,1311.81,Month-to-month,Fiber optic,Electronic check,No,0,No,1,1
15,57.48,887.58,One year,DSL,Electronic check,No,1,Yes,6,0
66,82.6,5561.07,Two year,Fiber optic,Bank transfer,Yes,0,Yes,5,0
32,33.06,1095.59,One year,DSL,Electronic check,Yes,0,No,3,0
63,111.26,7048.85,Month-to-month,Fiber optic,Electronic check,Yes,0,No,5,1
51,56.31,2935.5,One year,No,Electronic check,No internet service,0,Yes,3,0
25,90.95,2300.05,One year,Fiber optic,Electronic check,No internet service,0,No,2,0
58,20.03,1201.38,One year,Fiber optic,Mailed check,No internet service,1,Yes,4,0
63,38.52,2409.55,Month-to-month,No,Bank transfer,No internet service,0,No,6,0
62,66.71,4193.91,One year,Fiber optic,Electronic check,Yes,0,No,1,0
22,105.83,2348.83,Month-to-month,DSL,Electronic check,No,0,No,3,0
58,70.73,4028.18,Month-to-month,DSL,Bank transfer,No internet service,1,No,5,0
58,110.99,6449.4,Month-to-month,Fiber optic,Bank transfer,No,0,Yes,6,1
49,66.38,3144.12,Two year,Fiber optic,Bank transfer,Yes,0,No,7,0
52,67.04,3522.03,Month-to-month,DSL,Electronic check,No,0,Yes,6,1
42,29.97,1247.26,Two year,No,Credit card,Yes,0,No,6,0
70,98.27,6973.87,Month-to-month,DSL,Mailed check,Yes,0,No,5,0
15,42.7,664.93,One year,No,Bank transfer,No,0,No,1,0
54,107.96,5876.12,Month-to-month,No,Electronic check,No internet service,0,No,1,0
60,109.08,6492.48,Month-to-month,No,Electronic check,No,0,Yes,1,0
8,112.33,932.88,One year,No,Bank transfer,No,0,No,2,0
53,70.02,3679.19,One year,DSL,Electronic check,No,0,No,4,0
60,85.71,5197.09,One year,Fiber optic,Electronic check,No internet service,0,Yes,6,0
5,95.85,423.34,One year,DSL,Bank transfer,No,0,No,3,0
68,31.1,2120.39,One year,No,Mailed check,No,0,No,1,0
6,78.1,410.68,Two year,DSL,Bank transfer,Yes,0,No,3,0
47,21.43,1013.49,Month-to-month,DSL,Bank transfer,No,0,Yes,5,0
55,67.76,3827.74,Month-to-month,No,Mailed check,Yes,1,No,4,0
40,33.48,1375.43,Month-to-month,DSL,Mailed check,No internet service,0,No,4,0
52,36.29,1885.57,Month-to-month,DSL,Credit card,Yes,0,No,3,0
16,54.5,748.97,One year,Fiber optic,Mailed check,Yes,0,Yes,7,0
13,61.24,769.38,Month-to-month,Fiber optic,Bank transfer,No,0,No,5,1
30,80.32,2433.25,Month-to-month,Fiber optic,Electronic check,No,0,No,5,1
19,25.44,457.87,Month-to-month,Fiber optic,Credit card,No,1,No,2,1
17,68.37,1233.63,One year,No,Electronic check,Yes,0,No,6,0
63,36.26,2288.12,Month-to-month,DSL,Mailed check,Yes,0,Yes,1,0
19,75.4,1486.48,Month-to-month,Fiber optic,Mailed check,No internet service,1,No,5,1
58,81.74,4751.19,One year,Fiber optic,Bank transfer,No,0,No,1,0
55,73.67,4038.1,One year,Fiber optic,Mailed check,No internet service,0,No,1,0
62,91.83,5669.87,Month-to-month,Fiber optic,Bank transfer,No,0,Yes,7,1
23,51.56,1135.29,One year,DSL,Electronic check,No,0,No,7,0
9,94.51,905.43,Month-to-month,DSL,Mailed check,No,0,No,7,1
12,61.28,713.92,Two year,DSL,Credit card,No,0,No,3,0
1,66.42,92.53,Month-to-month,DSL,Electronic check,No internet service,0,No,6,0
58,82.81,4776.71,Two year,DSL,Electronic check,Yes,0,No,1,0
